day,time_window,probability,avg_distance,sample_size
Monday,09:30-10:30,25.0,30.2,8
Monday,10:30-11:30,0.0,0.0,8
Monday,11:30-12:30,0.0,0.0,8
Monday,12:30-13:30,0.0,0.0,8
Monday,13:30-14:30,0.0,0.0,8
Monday,14:30-15:30,0.0,0.0,8
Monday,15:30-16:00,0.0,0.0,8
Tuesday,09:30-10:30,87.5,21.0,8
Tuesday,10:30-11:30,12.5,42.2,8
Tuesday,11:30-12:30,0.0,0.0,8
Tuesday,12:30-13:30,0.0,0.0,8
Tuesday,13:30-14:30,0.0,0.0,8
Tuesday,14:30-15:30,0.0,0.0,8
Tuesday,15:30-16:00,0.0,0.0,8
Wednesday,09:30-10:30,62.5,27.3,8
Wednesday,10:30-11:30,0.0,0.0,8
Wednesday,11:30-12:30,12.5,36.0,8
Wednesday,12:30-13:30,0.0,0.0,8
Wednesday,13:30-14:30,0.0,0.0,8
Wednesday,14:30-15:30,0.0,0.0,8
Wednesday,15:30-16:00,0.0,0.0,8
Thursday,09:30-10:30,33.3,9.9,6
Thursday,10:30-11:30,16.7,38.0,6
Thursday,11:30-12:30,0.0,0.0,6
Thursday,12:30-13:30,0.0,0.0,6
Thursday,13:30-14:30,0.0,0.0,6
Thursday,14:30-15:30,0.0,0.0,6
Thursday,15:30-16:00,0.0,0.0,6
Friday,09:30-10:30,66.7,12.1,9
Friday,10:30-11:30,0.0,0.0,9
Friday,11:30-12:30,0.0,0.0,9
Friday,12:30-13:30,0.0,0.0,9
Friday,13:30-14:30,0.0,0.0,9
Friday,14:30-15:30,0.0,0.0,9
Friday,15:30-16:00,0.0,0.0,9